,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Team
17,2023-08-15,20:00,World Cup,Semi-finals,Tue,Neutral,L,1,2,es Spain,0.9,1.6,40.0,43217.0,Kosovare Asllani,4-2-3-1,4-3-3,Edina Alves Batista,Match Report,,6.0,3.0,50.0,0.17,0.33,10.1,0.0,0,0,2023,Sweden Women
18,2023-08-19,18:00,World Cup,Third-place match,Sat,Neutral,W,2,0,au Australia,1.8,0.8,53.0,49461.0,Kosovare Asllani,4-2-3-1,4-4-2,Cheryl Foster,Match Report,,10.0,4.0,40.0,0.1,0.25,18.7,0.0,1,1,2023,Sweden Women
3,2023-07-20,20:00,World Cup,Group stage,Thu,Neutral,W,1,0,ie Rep. of Ireland,1.6,0.6,62.0,75784.0,Steph Catley,4-4-2,3-4-3,Edina Alves Batista,Match Report,,12.0,1.0,8.3,0.0,0.0,19.2,0.0,1,1,2023,Australia Women
4,2023-07-27,20:00,World Cup,Group stage,Thu,Neutral,L,2,3,ng Nigeria,2.2,1.4,63.0,49156.0,Steph Catley,4-4-2,4-2-3-1,Esther Staubli,Match Report,,28.0,8.0,28.6,0.07,0.25,15.8,0.0,0,0,2023,Australia Women
5,2023-07-31,20:00,World Cup,Group stage,Mon,Neutral,W,4,0,ca Canada,2.7,0.6,40.0,27706.0,Steph Catley,4-4-2,4-2-3-1,Stéphanie Frappart,Match Report,,9.0,5.0,55.6,0.33,0.6,17.3,0.0,1,1,2023,Australia Women
6,2023-08-07,20:30,World Cup,Round of 16,Mon,Neutral,W,2,0,dk Denmark,1.1,0.7,44.0,75784.0,Steph Catley,4-4-2,4-2-3-1,Rebecca Welch,Match Report,,10.0,3.0,30.0,0.2,0.67,17.4,0.0,0,0,2023,Australia Women
7,2023-08-12,17:00,World Cup,Quarter-finals,Sat,Neutral,D,0 (7),0 (6),fr France,1.6,2.0,50.0,49461.0,Steph Catley,4-4-2,4-4-1-1,María Carvajal,Match Report,Australia won on penalty kicks following extra time,15.0,3.0,20.0,0.0,0.0,16.3,1.0,0,0,2023,Australia Women
8,2023-08-16,20:00,World Cup,Semi-finals,Wed,Neutral,L,1,3,eng England,1.4,1.3,43.0,75784.0,Sam Kerr,4-4-2,3-4-1-2,Tori Penso,Match Report,,12.0,4.0,33.3,0.08,0.25,15.7,0.0,0,0,2023,Australia Women
9,2023-08-19,18:00,World Cup,Third-place match,Sat,Neutral,L,0,2,se Sweden,0.8,1.8,47.0,49461.0,Sam Kerr,4-4-2,4-2-3-1,Cheryl Foster,Match Report,,11.0,4.0,36.4,0.0,0.0,18.5,0.0,0,0,2023,Australia Women
6,2023-07-22,19:00,World Cup,Group stage,Sat,Neutral,W,5,0,zm Zambia,6.5,0.0,59.0,16111.0,Saki Kumagai,3-4-3,4-1-4-1,Tess Olofsson,Match Report,,24.0,9.0,37.5,0.17,0.44,15.3,1.0,1,1,2023,Japan Women
