,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Team
6,2023-07-31,20:00,World Cup,Group stage,Mon,Neutral,L,0,4,au Australia,0.6,2.7,60.0,27706.0,Christine Sinclair,4-2-3-1,4-4-2,Stéphanie Frappart,Match Report,,11.0,3.0,27.3,0.0,0.0,15.9,0.0,0,0,2023,Canada Women
12,2023-07-24,18:00,World Cup,Group stage,Mon,Neutral,W,1,0,ar Argentina,0.4,0.3,53.0,30889.0,Barbara Bonansea,4-2-3-1,4-2-3-1,Melissa Borjas Pastrana,Match Report,,12.0,4.0,33.3,0.08,0.25,20.5,1.0,0,0,2023,Italy Women
13,2023-07-29,19:30,World Cup,Group stage,Sat,Neutral,L,0,5,se Sweden,0.6,3.4,53.0,29143.0,Barbara Bonansea,4-2-3-1,4-2-3-1,Cheryl Foster,Match Report,,12.0,2.0,16.7,0.0,0.0,17.3,0.0,0,0,2023,Italy Women
14,2023-08-02,19:00,World Cup,Group stage,Wed,Neutral,L,2,3,za South Africa,3.2,1.4,61.0,14967.0,Barbara Bonansea,4-2-3-1,4-2-3-1,María Carvajal,Match Report,,17.0,6.0,35.3,0.06,0.17,13.7,1.0,1,1,2023,Italy Women
4,2023-07-22,20:00,World Cup,Group stage,Sat,Neutral,L,0,1,dk Denmark,0.4,1.1,45.0,16989.0,Wang Shanshan,4-4-2,4-3-3,Marie-Soleil Beaudoin,Match Report,,9.0,2.0,22.2,0.0,0.0,20.2,0.0,0,0,2023,China PR Women
5,2023-07-28,20:30,World Cup,Group stage,Fri,Neutral,W,1,0,ht Haiti,1.6,0.8,52.0,12675.0,Wang Shanshan,4-2-3-1,4-2-3-1,Marta Huerta,Match Report,,7.0,3.0,42.9,0.0,0.0,21.7,1.0,1,1,2023,China PR Women
6,2023-08-01,20:30,World Cup,Group stage,Tue,Neutral,L,1,6,eng England,0.9,2.6,27.0,13497.0,Wang Shanshan,4-4-2,3-4-1-2,Casey Reibelt,Match Report,,6.0,2.0,33.3,0.0,0.0,23.8,0.0,1,1,2023,China PR Women
0,2023-07-21,17:00,World Cup,Group stage,Fri,Neutral,L,0,2,ch Switzerland,0.1,3.1,27.0,13711.0,Hali Long,3-5-2,4-3-2-1,Vincentia Amedome,Match Report,,3.0,0.0,0.0,0.0,,14.2,0.0,0,0,2023,Philippines Women
1,2023-07-25,17:30,World Cup,Group stage,Tue,Neutral,W,1,0,nz New Zealand,0.4,1.9,32.0,32357.0,Hali Long,3-5-2,4-4-2,Katia García,Match Report,,4.0,1.0,25.0,0.25,1.0,20.6,0.0,0,0,2023,Philippines Women
2,2023-07-30,19:00,World Cup,Group stage,Sun,Neutral,L,0,6,no Norway,0.1,3.9,29.0,34697.0,Hali Long,4-4-2,4-3-3,Marie-Soleil Beaudoin,Match Report,,4.0,1.0,25.0,0.0,0.0,23.0,0.0,0,0,2023,Philippines Women
4,2023-07-22,19:00,World Cup,Group stage,Sat,Neutral,L,0,5,jp Japan,0.0,6.5,41.0,16111.0,Barbra Banda,4-1-4-1,3-4-3,Tess Olofsson,Match Report,,0.0,0.0,,,,,0.0,0,0,2023,Zambia Women
5,2023-07-26,19:30,World Cup,Group stage,Wed,Neutral,L,0,5,es Spain,0.4,4.4,26.0,20983.0,Barbra Banda,4-2-3-1,4-3-3,Oh Hyeonjeong,Match Report,,10.0,2.0,20.0,0.0,0.0,21.2,0.0,0,0,2023,Zambia Women
6,2023-07-31,19:00,World Cup,Group stage,Mon,Neutral,W,3,1,cr Costa Rica,2.4,2.1,43.0,8117.0,Barbra Banda,4-1-4-1,4-2-3-1,Bouchra Karboubi,Match Report,,14.0,7.0,50.0,0.14,0.29,19.0,1.0,1,1,2023,Zambia Women
13,2023-07-20,20:00,World Cup,Group stage,Thu,Neutral,L,0,1,au Australia,0.6,1.6,38.0,75784.0,Katie McCabe,3-4-3,4-4-2,Edina Alves Batista,Match Report,,9.0,1.0,11.1,0.0,0.0,16.1,1.0,0,0,2023,Republic of Ireland Women
14,2023-07-26,20:00,World Cup,Group stage,Wed,Neutral,L,1,2,ca Canada,1.5,2.3,40.0,17065.0,Katie McCabe,3-4-3,4-2-3-1,Laura Fortunato,Match Report,,14.0,6.0,42.9,0.07,0.17,20.3,0.0,0,0,2023,Republic of Ireland Women
15,2023-07-31,20:00,World Cup,Group stage,Mon,Neutral,D,0,0,ng Nigeria,0.5,1.1,59.0,24884.0,Katie McCabe,5-4-1,4-2-3-1,Katia García,Match Report,,5.0,1.0,20.0,0.0,0.0,12.3,0.0,0,0,2023,Republic of Ireland Women
6,2023-07-24,18:00,World Cup,Group stage,Mon,Neutral,L,0,1,it Italy,0.3,0.4,47.0,30889.0,Vanina Correa,4-2-3-1,4-2-3-1,Melissa Borjas Pastrana,Match Report,,5.0,1.0,20.0,0.0,0.0,27.0,2.0,0,0,2023,Argentina Women
7,2023-07-28,12:00,World Cup,Group stage,Fri,Neutral,D,2,2,za South Africa,0.7,2.1,61.0,8834.0,Vanina Correa,4-2-3-1,4-4-2,Anna-Marie Keighley,Match Report,,13.0,4.0,30.8,0.15,0.5,20.2,0.0,0,0,2023,Argentina Women
8,2023-08-02,19:00,World Cup,Group stage,Wed,Neutral,L,0,2,se Sweden,0.4,2.0,42.0,17907.0,Vanina Correa,4-1-4-1,4-2-3-1,Salima Mukansanga,Match Report,,6.0,2.0,33.3,0.0,0.0,20.8,0.0,0,0,2023,Argentina Women
3,2023-07-25,12:00,World Cup,Group stage,Tue,Neutral,L,0,2,co Colombia,0.5,1.6,43.0,24323.0,Kim Hye-ri,5-3-2,4-2-3-1,Rebecca Welch,Match Report,,5.0,3.0,60.0,0.0,0.0,19.1,1.0,0,0,2023,Korea Republic Women
4,2023-07-30,14:00,World Cup,Group stage,Sun,Neutral,L,0,1,ma Morocco,1.2,1.4,62.0,12886.0,Kim Hye-ri,3-5-2,4-4-1-1,Edina Alves Batista,Match Report,,16.0,0.0,0.0,0.0,,17.1,1.0,0,0,2023,Korea Republic Women
5,2023-08-03,20:00,World Cup,Group stage,Thu,Neutral,D,1,1,de Germany,1.0,1.8,30.0,38945.0,Kim Hye-ri,4-1-4-1,4-2-3-1,Anna-Marie Keighley,Match Report,,5.0,2.0,40.0,0.2,0.5,21.2,1.0,0,0,2023,Korea Republic Women
1,2023-07-22,19:30,World Cup,Group stage,Sat,Neutral,L,0,1,eng England,0.7,2.6,26.0,44369.0,Nérilia Mondésir,4-2-3-1,4-3-3,Emikar Calderas,Match Report,,7.0,2.0,28.6,0.0,0.0,19.8,0.0,0,0,2023,Haiti Women
2,2023-07-28,20:30,World Cup,Group stage,Fri,Neutral,L,0,1,cn China PR,0.8,1.6,48.0,12675.0,Nérilia Mondésir,4-2-3-1,4-2-3-1,Marta Huerta,Match Report,,7.0,1.0,14.3,0.0,0.0,11.8,0.0,0,0,2023,Haiti Women
3,2023-08-01,19:00,World Cup,Group stage,Tue,Neutral,L,0,2,dk Denmark,0.5,1.9,39.0,17897.0,Nérilia Mondésir,4-2-3-1,4-2-3-1,Oh Hyeonjeong,Match Report,,9.0,2.0,22.2,0.0,0.0,20.2,0.0,0,0,2023,Haiti Women
2,2023-07-21,19:30,World Cup,Group stage,Fri,Neutral,L,0,3,es Spain,0.1,4.7,20.0,22966.0,Katherine Alvarado,3-4-3,4-2-3-1,Casey Reibelt,Match Report,,1.0,0.0,0.0,0.0,,17.4,0.0,0,0,2023,Costa Rica Women
3,2023-07-26,17:00,World Cup,Group stage,Wed,Neutral,L,0,2,jp Japan,0.2,2.5,43.0,6992.0,Katherine Alvarado,4-4-1-1,3-4-3,Maria Sole Ferrieri Caputi,Match Report,,6.0,2.0,33.3,0.0,0.0,22.6,0.0,0,0,2023,Costa Rica Women
4,2023-07-31,19:00,World Cup,Group stage,Mon,Neutral,L,1,3,zm Zambia,2.1,2.4,57.0,8117.0,Katherine Alvarado,4-2-3-1,4-1-4-1,Bouchra Karboubi,Match Report,,16.0,3.0,18.8,0.06,0.33,11.2,0.0,0,0,2023,Costa Rica Women
4,2023-07-24,20:30,World Cup,Group stage,Mon,Neutral,L,0,4,br Brazil,0.2,4.3,28.0,13142.0,Natalia Mills,5-4-1,4-4-2,Cheryl Foster,Match Report,,6.0,2.0,33.3,0.0,0.0,21.2,0.0,0,0,2023,Panama Women
5,2023-07-29,20:30,World Cup,Group stage,Sat,Neutral,L,0,1,jm Jamaica,0.5,1.0,51.0,15987.0,Marta Cox,4-2-3-1,4-1-4-1,Kateryna Monzul,Match Report,,13.0,4.0,30.8,0.0,0.0,23.0,0.0,0,0,2023,Panama Women
6,2023-08-02,20:00,World Cup,Group stage,Wed,Neutral,L,3,6,fr France,1.5,4.4,29.0,40498.0,Marta Cox,4-5-1,4-4-1-1,Laura Fortunato,Match Report,,5.0,2.0,40.0,0.4,1.0,24.6,2.0,1,1,2023,Panama Women
2,2023-07-22,13:00,World Cup,Group stage,Sat,Neutral,L,0,3,us USA,0.0,4.7,35.0,41107.0,Huỳnh Như,5-4-1,4-3-3,Bouchra Karboubi,Match Report,,0.0,0.0,,,,,0.0,0,0,2023,Vietnam Women
3,2023-07-27,19:30,World Cup,Group stage,Thu,Neutral,L,0,2,pt Portugal,0.2,4.8,31.0,6645.0,Huỳnh Như,5-4-1,3-4-1-2,Salima Mukansanga,Match Report,,5.0,1.0,20.0,0.0,0.0,26.4,0.0,0,0,2023,Vietnam Women
4,2023-08-01,19:00,World Cup,Group stage,Tue,Neutral,L,0,7,nl Netherlands,0.4,4.9,29.0,8215.0,Phạm Hải Yến,5-4-1,3-1-4-2,Ivana Martinčić,Match Report,,5.0,1.0,20.0,0.0,0.0,20.0,0.0,0,0,2023,Vietnam Women
